numero_titulo,tipo_credor,serie,n,id_cliente,tipo_pagamento,data_emissao,vencimento,data_pagamento,valor_titulo,instituicao,situacao_titulo,codigo_credito,descricao_credito,codigo_debito,descricao_debito,data_hora_lancamento
26,2,1,1,5779,1,2025-06-06 00:00:00.000,2025-06-26 00:00:00.000,2025-06-26 00:00:00.000,75,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Jun  6 2025 12:00AM15:47
27,2,S,1,438,2,2025-08-08 00:00:00.000,2025-08-20 00:00:00.000,2025-08-20 00:00:00.000,"947,18",237,3,NULL,NULL,29,COMISSAO,Aug  8 2025 12:00AM15:31
28,2,S,1,441,2,2025-06-06 00:00:00.000,2025-06-20 00:00:00.000,2025-06-20 00:00:00.000,"590,78",237,3,NULL,NULL,29,COMISSAO,Jun  6 2025 12:00AM16:04
28,2,S,1,5774,2,2025-05-09 00:00:00.000,2025-05-20 00:00:00.000,2025-05-20 00:00:00.000,"423,92",237,3,NULL,NULL,29,COMISSAO,May  9 2025 12:00AM15:44
30,2,E,1,438,2,2025-09-09 00:00:00.000,2025-09-20 00:00:00.000,2025-09-22 00:00:00.000,"862,23",237,3,NULL,NULL,29,COMISSAO,Sep  9 2025 12:00AM15:45
31,2,1,1,5102,1,2025-04-06 00:00:00.000,2025-04-07 00:00:00.000,2025-04-07 00:00:00.000,650,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Apr  6 2025 12:00AM09:16
33,2,5,1,438,2,2025-10-06 00:00:00.000,2025-10-20 00:00:00.000,2025-10-20 00:00:00.000,"1214,21",237,3,NULL,NULL,29,COMISSAO,Oct  6 2025 12:00AM09:55
33,2,S,1,438,2,2025-01-10 00:00:00.000,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,"1763,13",237,3,NULL,NULL,29,COMISSAO,Jan 10 2025 12:00AM09:38
33,2,S,1,5165,1,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000,500,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Jan 16 2025 12:00AM14:44
35,2,1,1,5779,1,2025-07-04 00:00:00.000,2025-08-13 00:00:00.000,2025-08-13 00:00:00.000,75,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Jul  4 2025 12:00AM16:10
36,2,5,1,438,2,2025-11-14 00:00:00.000,2025-11-20 00:00:00.000,2025-11-21 00:00:00.000,"2154,61",237,3,NULL,NULL,29,COMISSAO,Nov 14 2025 12:00AM14:17
37,2,S,1,441,2,2025-07-14 00:00:00.000,2025-07-20 00:00:00.000,2025-07-21 00:00:00.000,"609,32",237,3,NULL,NULL,29,COMISSAO,Jul 14 2025 12:00AM15:39
39,2,1,1,5165,1,2025-03-12 00:00:00.000,2025-03-12 00:00:00.000,2025-03-12 00:00:00.000,150,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Mar 12 2025 12:00AM10:37
41,2,5,1,438,2,2025-12-08 00:00:00.000,2025-12-22 00:00:00.000,1753-01-01 00:00:00.000,"1882,21",237,1,NULL,NULL,29,COMISSAO,Dec  8 2025 12:00AM13:37
42,2,0,1,5754,2,2025-11-05 00:00:00.000,2025-11-15 00:00:00.000,2025-11-17 00:00:00.000,680,2,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Nov  5 2025 12:00AM17:05
42,2,S,1,4961,2,2025-10-08 00:00:00.000,2025-10-20 00:00:00.000,2025-10-20 00:00:00.000,"982,61",2,3,NULL,NULL,29,COMISSAO,Oct  8 2025 12:00AM10:46
45,2,S,1,441,2,2025-01-08 00:00:00.000,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,"520,83",237,3,NULL,NULL,29,COMISSAO,Jan  8 2025 12:00AM09:25
46,2,1,1,5779,1,2025-08-07 00:00:00.000,2025-08-08 00:00:00.000,2025-08-08 00:00:00.000,54,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Aug  7 2025 12:00AM11:01
47,2,1,1,5102,2,2025-11-11 00:00:00.000,2025-11-26 00:00:00.000,2025-11-26 00:00:00.000,500,2,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Nov 11 2025 12:00AM07:39
47,2,S,1,5774,2,2025-10-06 00:00:00.000,2025-10-20 00:00:00.000,2025-10-20 00:00:00.000,"367,8",2,3,NULL,NULL,29,COMISSAO,Oct  6 2025 12:00AM10:58
50,2,1,1,5165,1,2025-09-01 00:00:00.000,2025-09-01 00:00:00.000,2025-09-01 00:00:00.000,500,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Sep  1 2025 12:00AM13:09
50,2,E,1,441,2,2025-09-09 00:00:00.000,2025-09-20 00:00:00.000,2025-09-22 00:00:00.000,"366,07",237,3,NULL,NULL,29,COMISSAO,Sep  9 2025 12:00AM15:41
56,2,1,1,5779,2,2025-09-04 00:00:00.000,2025-09-09 00:00:00.000,2025-09-09 00:00:00.000,75,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Sep  4 2025 12:00AM14:29
61,2,1,1,5165,1,2025-12-10 00:00:00.000,2025-12-10 00:00:00.000,1753-01-01 00:00:00.000,350,2,1,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Dec 10 2025 12:00AM09:43
61,2,S,1,5793,2,2025-07-10 00:00:00.000,2025-07-20 00:00:00.000,2025-07-21 00:00:00.000,"354,45",237,3,NULL,NULL,29,COMISSAO,Jul 10 2025 12:00AM15:06
62,2,S,1,4961,2,2025-12-05 00:00:00.000,2025-12-22 00:00:00.000,1753-01-01 00:00:00.000,"487,7",237,1,NULL,NULL,55,FRETE S/ VENDAS,Dec  5 2025 12:00AM15:23
64,2,1,1,5779,1,2025-10-07 00:00:00.000,2025-10-07 00:00:00.000,2025-10-08 00:00:00.000,190,2,3,NULL,NULL,23,FRETE S/ COMPRAS,Oct  7 2025 12:00AM15:32
71,2,S,1,441,2,2025-12-05 00:00:00.000,2025-12-22 00:00:00.000,1753-01-01 00:00:00.000,"1912,68",237,1,NULL,NULL,29,COMISSAO,Dec  5 2025 12:00AM15:05
75,2,S,1,5793,2,2025-08-12 00:00:00.000,2025-08-20 00:00:00.000,2025-08-20 00:00:00.000,"752,48",237,3,NULL,NULL,29,COMISSAO,Aug 12 2025 12:00AM15:10
76,2,1,1,5779,2,2025-11-06 00:00:00.000,2025-11-07 00:00:00.000,2025-11-07 00:00:00.000,135,2,3,NULL,NULL,23,FRETE S/ COMPRAS,Nov  6 2025 12:00AM11:38
81,2,1,1,5779,2,2025-12-05 00:00:00.000,2025-12-10 00:00:00.000,1753-01-01 00:00:00.000,190,2,1,NULL,NULL,23,FRETE S/ COMPRAS,Dec  5 2025 12:00AM13:11
86,2,2,1,5688,2,2025-02-05 00:00:00.000,2025-03-06 00:00:00.000,2025-03-06 00:00:00.000,"930,75",237,3,NULL,NULL,22,MATERIA PRIMA,Feb  5 2025 12:00AM17:17
86,2,2,2,5688,2,2025-02-05 00:00:00.000,2025-03-19 00:00:00.000,2025-03-19 00:00:00.000,"930,75",237,3,NULL,NULL,22,MATERIA PRIMA,Feb  5 2025 12:00AM17:17
87,2,S,1,5793,2,2025-09-11 00:00:00.000,2025-09-20 00:00:00.000,2025-09-22 00:00:00.000,"2216,27",237,3,NULL,NULL,29,COMISSAO,Sep 11 2025 12:00AM14:50
97,2,S,1,5793,2,2025-10-14 00:00:00.000,2025-10-20 00:00:00.000,2025-10-20 00:00:00.000,"1668,15",2,3,NULL,NULL,29,COMISSAO,Oct 14 2025 12:00AM10:40
98,2,S,1,5815,2,2025-08-13 00:00:00.000,2025-08-20 00:00:00.000,2025-08-20 00:00:00.000,"569,29",237,3,NULL,NULL,29,COMISSAO,Aug 13 2025 12:00AM15:27
102,2,S,1,5815,2,2025-09-09 00:00:00.000,2025-09-20 00:00:00.000,2025-09-22 00:00:00.000,"1297,33",237,3,NULL,NULL,29,COMISSAO,Sep  9 2025 12:00AM15:33
105,2,S,1,5815,2,2025-10-10 00:00:00.000,2025-10-20 00:00:00.000,2025-10-20 00:00:00.000,"1242,99",2,3,NULL,NULL,29,COMISSAO,Oct 10 2025 12:00AM10:42
111,2,S,1,5793,2,2025-11-10 00:00:00.000,2025-11-20 00:00:00.000,2025-11-21 00:00:00.000,"1470,11",237,3,NULL,NULL,29,COMISSAO,Nov 10 2025 12:00AM10:51
113,2,1,1,5933,2,2025-12-08 00:00:00.000,2025-12-15 00:00:00.000,1753-01-01 00:00:00.000,918,2,1,NULL,NULL,23,FRETE S/ COMPRAS,Dec  8 2025 12:00AM13:43
116,2,S,1,5815,2,2025-11-12 00:00:00.000,2025-11-20 00:00:00.000,2025-11-21 00:00:00.000,"192,38",237,3,NULL,NULL,29,COMISSAO,Nov 12 2025 12:00AM11:01
118,2,S,1,5269,2,2025-05-26 00:00:00.000,2025-05-30 00:00:00.000,2025-05-30 00:00:00.000,1500,237,3,NULL,NULL,16,DESPESA ASSESSORIA JURIDICA,May 26 2025 12:00AM15:42
120,2,S,1,4036,1,2025-12-09 00:00:00.000,2025-12-09 00:00:00.000,1753-01-01 00:00:00.000,250,2,1,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Dec  9 2025 12:00AM09:40
122,2,S,1,5793,2,2025-12-09 00:00:00.000,2025-12-22 00:00:00.000,1753-01-01 00:00:00.000,"1991,52",237,1,NULL,NULL,29,COMISSAO,Dec  9 2025 12:00AM13:41
146,2,1,1,5138,2,2025-01-03 00:00:00.000,2025-01-10 00:00:00.000,2025-01-10 00:00:00.000,150,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Jan  3 2025 12:00AM07:44
147,2,1,1,5739,2,2025-11-13 00:00:00.000,2025-12-10 00:00:00.000,2025-12-10 00:00:00.000,320,2,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Nov 13 2025 12:00AM17:29
152,2,1,1,5468,2,2025-01-07 00:00:00.000,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Jan  7 2025 12:00AM15:48
153,2,1,1,5138,2,2025-02-02 00:00:00.000,2025-02-10 00:00:00.000,2025-02-10 00:00:00.000,80,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Feb  2 2025 12:00AM08:54
154,2,S,1,5543,2,2025-01-08 00:00:00.000,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,"846,51",237,3,NULL,NULL,29,COMISSAO,Jan  8 2025 12:00AM09:15
165,2,1,1,5468,2,2025-02-05 00:00:00.000,2025-02-14 00:00:00.000,2025-02-14 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Feb  5 2025 12:00AM08:05
165,2,1,1,5553,1,2025-03-05 00:00:00.000,2025-03-05 00:00:00.000,2025-03-05 00:00:00.000,350,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Mar  5 2025 12:00AM15:49
172,2,1,1,5468,2,2025-03-03 00:00:00.000,2025-03-14 00:00:00.000,2025-03-14 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Mar  3 2025 12:00AM13:03
173,2,1,1,5468,2,2025-03-03 00:00:00.000,2025-03-20 00:00:00.000,2025-03-20 00:00:00.000,"1666,66",237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Mar  3 2025 12:00AM13:05
174,2,S,1,5543,2,2025-02-08 00:00:00.000,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,"644,51",237,3,NULL,NULL,29,COMISSAO,Feb  8 2025 12:00AM08:30
177,2,S,1,5673,2,2025-02-12 00:00:00.000,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,"319,11",237,3,NULL,NULL,29,COMISSAO,Feb 12 2025 12:00AM15:03
179,2,1,1,5468,2,2025-04-02 00:00:00.000,2025-04-15 00:00:00.000,2025-04-15 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Apr  2 2025 12:00AM11:03
180,2,1,1,5468,2,2025-04-02 00:00:00.000,2025-04-20 00:00:00.000,2025-04-22 00:00:00.000,"1666,66",237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Apr  2 2025 12:00AM11:05
